article_id,item_id_int
622295001,1344.0
685343001,1974.0
562245034,26.0
507987001,3752.0
607609001,8936.0
652730003,706.0
436083001,4331.0
542982010,2262.0
607834001,1080.0
468480025,3722.0
637194001,3515.0
589556007,12540.0
579751002,3884.0
506903004,11047.0
680220001,224.0
652009003,14649.0
664939001,5990.0
457292020,5130.0
654772003,319.0
631536004,1486.0
664340001,15015.0
446224013,1545.0
523490002,2523.0
581105002,8670.0
588335001,12503.0
597572003,5513.0
592975021,2987.0
692066001,1403.0
620006008,13432.0
701419001,4250.0
651793005,2715.0
675501001,7621.0
584483003,1155.0
633135006,13973.0
646608002,14439.0
630326003,7125.0
616225015,5606.0
659567001,9928.0
593968003,8798.0
662369014,14969.0
642296002,2692.0
508184022,1432.0
675359003,1393.0
622981001,5659.0
454544001,5129.0
501396001,10985.0
671057002,378.0
591334019,91.0
619561010,4697.0
453239044,3716.0
578311001,5436.0
552617006,8319.0
617728002,4688.0
616086002,1235.0
628499001,13805.0
370868012,5098.0
679494001,4214.0
613463003,1471.0
662948003,575.0
559634008,2918.0
687535001,156.0
653633001,4897.0
637739002,4817.0
633130020,972.0
592975003,3913.0
640677003,1495.0
520508001,720.0
570003026,3353.0
636238001,741.0
118458039,4265.0
515136001,11137.0
451720010,10722.0
501616001,2012.0
589764001,12545.0
570431003,12047.0
561817001,2560.0
705032002,1983.0
634248003,7186.0
581153001,8674.0
556015005,11626.0
628979006,9352.0
497513001,1842.0
579395001,12271.0
549391002,11491.0
664836004,10019.0
635677001,2129.0
317812001,2814.0
658514003,9906.0
639545002,5813.0
555318001,11616.0
545396031,5255.0
578876005,4548.0
283236026,10444.0
684105001,1649.0
688873002,149.0
484398077,1548.0
524529004,8174.0
445865001,1133.0
670233009,6034.0
451243012,6273.0
430694018,3707.0
519718007,11186.0
592174001,563.0
600229015,5525.0
301227017,4288.0
632451001,4040.0
635561004,4805.0
668273001,4177.0
545439001,5256.0
305931001,1418.0
662084001,1376.0
572852001,8576.0
686265002,988.0
634704001,9470.0
581831001,4555.0
608210001,4635.0
511783009,6380.0
605777008,3938.0
661806002,3585.0
631590005,1087.0
660369005,454.0
685383001,6113.0
643305002,5845.0
494030013,6340.0
623284002,13579.0
588148002,12494.0
608645003,8945.0
640176002,4085.0
228257003,1414.0
677121004,7631.0
561548034,4482.0
390512018,7850.0
564314022,11824.0
512230004,11108.0
550888001,11516.0
553881021,2905.0
612122001,13134.0
294008005,7787.0
630319001,4767.0
611469001,13109.0
568683001,11977.0
591784001,3388.0
552856002,11552.0
566432001,6597.0
653747001,4130.0
547349005,5261.0
156224002,4271.0
567475001,3347.0
633109002,863.0
456163026,676.0
634037002,7181.0
612075002,655.0
662868003,20.0
538142006,463.0
624121005,2112.0
555351005,8339.0
576714003,12189.0
651336004,2710.0
660308003,1373.0
696826001,10322.0
660994002,3584.0
693466001,7706.0
605290001,12881.0
635844002,4057.0
577513002,3878.0
456245002,7929.0
602293001,5527.0
641891001,1616.0
498735003,8048.0
256151014,1417.0
611351001,5576.0
436570008,1670.0
416175023,7883.0
685278004,3648.0
673275001,3154.0
626263004,2362.0
552866001,6506.0
551336008,5277.0
578487002,1323.0
472064004,5139.0
667316001,4973.0
564793001,5357.0
642882004,14344.0
110065011,2470.0
586896005,5471.0
671186003,7588.0
630915002,9389.0
617280001,3026.0
661313001,9960.0
612055001,13132.0
618389001,3443.0
502186011,157.0
656719003,573.0
639525001,4075.0
618840001,3977.0
672598001,604.0
649328001,9740.0
545258008,1567.0
574874003,3361.0
673638002,96.0
501616088,6357.0
626463002,4020.0
662935002,287.0
631837003,133.0
669034002,814.0
649492005,3091.0
598755011,3395.0
681196001,6095.0
627197003,1171.0
683662008,199.0
664190001,4952.0
664647006,5988.0
607310005,964.0
596517003,8833.0
655691001,375.0
576775006,1013.0
636935009,3514.0
552018007,3310.0
528568002,6430.0
664776003,4164.0
591334020,219.0
626406003,5710.0
615508002,4670.0
624632007,3040.0
612481002,2330.0
626816002,3476.0
559715009,5332.0
569996006,3858.0
634153001,3505.0
320880001,10497.0
508638022,4387.0
637820002,5799.0
618841002,6946.0
612882002,13158.0
220365001,10406.0
539290003,8235.0
595071002,1882.0
639528002,9561.0
677546001,5001.0
542443004,4429.0
644700002,14394.0
614666001,4660.0
675281001,387.0
554450004,330.0
562255001,728.0
653428002,4127.0
637141005,3073.0
297078002,3217.0
615934008,5604.0
700833004,2465.0
564449001,8446.0
578797001,12255.0
500435003,5177.0
626588005,4745.0
711871001,7730.0
457292019,10758.0
640396003,14272.0
587782001,4575.0
604590001,6837.0
386681016,6238.0
628499008,13807.0
693480001,15481.0
455828001,6283.0
578696001,12252.0
644944002,9673.0
651424001,3559.0
677077001,3619.0
620861002,3453.0
653321002,9819.0
556625001,2914.0
647954004,4864.0
630823003,13883.0
567893001,6618.0
580482008,2073.0
678983004,197.0
599729001,3926.0
655710007,1178.0
418545001,7888.0
579541001,83.0
532954003,836.0
613497008,967.0
176754001,7748.0
542730007,1002.0
510465002,8117.0
664746001,5989.0
633136005,739.0
657415002,193.0
665873002,4168.0
621746001,4711.0
379780024,3694.0
657285002,1942.0
615941001,9047.0
676364002,4999.0
660519001,756.0
551379001,6501.0
638777001,1760.0
616849003,5610.0
669105001,7569.0
655259002,452.0
500780011,8060.0
612420006,4653.0
599016001,8863.0
624633003,3041.0
552471033,3313.0
586664005,12465.0
678656002,10207.0
623282005,13577.0
573410004,5414.0
573013002,12105.0
633133008,13971.0
405887028,6253.0
586518006,8729.0
555102001,1005.0
673275003,6056.0
625321003,315.0
633152003,7160.0
189616006,71.0
179123001,226.0
589222001,31.0
