customer_id,article_id
208bb6cd425e4daeef3efa7dab8d811fac5fbc7bbabb0ce0c95671ab83203ff6,351933001
334aab614ca38cdd6ebeb668131058c3b9cc1ba94d2e301c544f9112dd5af7d0,481111010
a60d2f9421ae1aa3809f55ca99469f50535cf1312c36e445ac3840c5f033fe98,453272051
c75b28bc7a4aef0ea441af5605a27df0dd2300ba6265688ea85fe0a1958fd9ae,479167005
2d985c8095bf3b133478aad78890cac87b774596acc23c6a3215393c969f1882,485537023
5bcfc751d3bacaf3ac353f280bcba7a1099b3a51fa0a4230988a425a18d5810b,407040001
3a6826eb4c8f0476104174d94291729fc6f034f3b7c771bec567661833e8a2ab,485414002
cc22f85d3b5b936da0a4fabe315efff441b24aca2fc6f20bea00e0c4b36cf1a6,443078014
7b6fa5af091d48f856937185ae9540ff76f4896266444181939305b8653cf64b,378447050
c858cbe6a05e279166d7058508af69f6c5f702ae8caae7bf27d5af0e8b5057d2,402065030
c5d349947c57e3f6da53ddbf65d4a23778663aa7d11ee07196891bb9bd77792d,449897042
e5872c4c8810410c961cdbd986ae254ca1700e5c219c92b95c8091febf1e6311,398959003
5b08173c60279ec79182d48eed3f3d44c8dbae3f76896d37bc2587deda60c0f8,449570035
ee23e305a812ebab3ca4598da7757e61882aa5f56d249c12aa265c2af65aebc3,428291007
0e694a5d4c7397bde75421b8e6e1c00a15a6bb7e320436a01668cf359a35faba,392168020
19c2f145250e023c26c704a4c3442e029d0eee937802718ecfe0921fd0368087,408664010
5f1a4fcde99e81f68e3c21f480b8c3a0838cb497b9e780dca8ac56ac2972ee83,449263043
986c72f18ba127ce30d2781ddf8464e851cb273e6578d522ad063bc1cde5c2dd,464927021
70ca4a682b67aab2242c5f72128e75723be3466e9f2d41a1490226714f615caa,487205007
20dbdfd20b7d11956f5f2c57a9c262ea1cf5e360be53a29188db8f6f57157074,359043008
2224f16315aaee2d5a739d30e316c01f97ce68db0c440727a5392469aec6f77e,416157019
219570b37dc6e4ecd1581867612a0f5aa55ffe9cf411ae52299cc220783aff29,470789020
9ce2cbf0e83ab5707bc7affa436e8a30938aba52bd826324747a389d446db723,459149003
4784a31778307e644d5c1ccbba654adafa0b0399039d1e9811f02bc53ad5456c,482263001
bf846104f7fc8e5b54f01c005c84243d65f0665aa060bd1e73f0c5f4cc316b58,423900031
0a5ab3a2e7fdab89e142f2de3ec9cc57cd97c718f18322b971f45f81da1a9f13,324963052
